編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案,圖片檔名
B2-061,B2,011,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某團隊為電信公司建立用戶月租方案續約預測模型,資料集包含兩個類別特徵:「客服 評價」共有5 個等級（非常不滿意至非常滿意），具明確順序關係；「居住縣市」共有 22 個不同類別，類別之間無順序關係。團隊計劃分別以Logistic Regression 與XGBoost 訓練模型，並對上述特徵進行編碼。請問下列哪個編碼方案最適當？",(1) 兩模型皆將「客服評價」與「居住縣市」進行One-Hot Encoding，保留全部欄位並 使用相同特徵矩陣訓練模型,(2) Logistic Regression 將「客服評價」做Ordinal Encoding、「居住縣市」以歷史續約率 進行編碼且於資料切分前計算；XGBoost 對兩個特徵皆採Ordinal Encoding 處理,(3) Logistic Regression 將「客服評價」做Ordinal Encoding、「居住縣市」進行One-Hot  Encoding 並採Drop First；XGBoost 將「客服評價」採Ordinal Encoding，「居住縣市」 以類別型態輸入並啟用enable_categorical,(4) 兩個模型均將「客服評價」以平均續約率進行編碼，「居住縣市」先做One-Hot  Encoding 再以PCA 降維，並統一作為兩模型輸入特徵,3,
B2-062,B2,012,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某資料工程師在建構AI 訓練資料處理流程時,需要處理一個50GB 的CSV 檔案,其 大小遠超過系統可用記憶體。他使用Python 的Pandas 進行資料前處理，但直接呼叫 第二科：大數據處理分析與應用 答案 題目 pd.read_csv()時出現記憶體溢位（Out of Memory, OOM）錯誤。在不改用其他分散式框 架的前提下，下列哪個參數最能有效解決此問題？",(1) nrows=10000：限制僅讀取前N 筆資料以避免記憶體溢位,(2) usecols=0.5：隨機載入50%的資料欄位，以減半記憶體使用量,(3) chunksize=10000：分批讀取資料並逐批處理，避免一次載入整個檔案,(4) dtype：指定欄位資料型別以降低記憶體使用量,3,
B2-063,B2,013,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某電商平台正在重構商品資料架構,需同時支援三個系統:商品管理後台需處理結構 化與半結構化資料（如巢狀庫存與不同類別商品欄位差異），並支援複雜條件查詢；AI 推薦系統需儲存高維向量（1,536 維）並進行高效相似度搜尋（高QPS）；即時庫存服 務則要求ACID 且延遲低於10ms，以避免超賣。在此情境下，哪種資料庫架構最適合？",(1) 全部使用關聯式資料庫，透過JSON 欄位儲存巢狀資料，並以延伸套件支援向量搜 尋，同時以資料列鎖（Row-level Lock）處理庫存扣減,(2) 商品資料使用文件型資料庫，向量搜尋使用專用向量資料庫，庫存服務使用關聯式 資料庫，各系統依需求選擇最適合的資料庫,(3) 全部使用文件型資料庫，同時處理商品資料、向量搜尋與庫存服務，以統一技術棧 降低維運複雜度,(4) 商品與向量資料使用搜尋引擎型資料庫，並以文件更新機制處理庫存扣減,2,
B2-064,B2,014,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某AI 平台的資料量已達PB 級,單一資料庫節點已無法負荷,決定採用分片(Sharding) 策略。下列何者為Sharding 設計的主要目的？",(1) 增加資料備份數量以提升安全性,(2) 將查詢結果預先計算以降低延遲,(3) 將資料水平分割以提升擴展性與負載均衡,(4) 將資料壓縮以減少儲存成本,3,
B2-065,B2,015,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某資料工程師在建構大規模影像資料處理流程時,需要處理數千萬筆訓練影像,並發 現模型出現嚴重的過度擬合（Overfitting）：訓練集準確率達99%，但驗證集僅有72%。 在不改變模型架構的前提下，下列哪一項「資料處理層面」的調整最無法有效改善過度 擬合，甚至可能使問題惡化？",(1) 在資料處理流程中加入資料增強（Data Augmentation），於訓練時動態生成多樣化影 像樣本,(2) 擴充資料來源，收集更多不同場景與條件的影像，以提升訓練資料分布的多樣性,(3) 為了提升資料處理吞吐量（Throughput），預先將影像轉為固定特徵並快取（Cache）， 反覆使用相同訓練資料以加速訓練流程,(4) 在資料前處理階段進行資料清理，移除標註錯誤或品質不佳的影像資料,3,
B2-066,B2,016,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某工程師在建立推薦系統時,評估使用奇異值分解(Singular Value Decomposition, SVD) 第二科：大數據處理分析與應用 答案 題目 對使用者-商品評分矩陣進行潛在語意分析（Latent Semantic Analysis, LSA）。關於SVD 的數學性質，下列何者不正確？",(1) SVD 只能分解方陣（Square Matrix），無法應用於行列數不相等的長方形矩陣,(2) SVD 常用於降維（Dimensionality Reduction），透過保留最大的k 個奇異值來近似原 始矩陣（截斷SVD）,(3) SVD 比PCA 更一般化，因為PCA 可視為對資料的共變異數矩陣（Covariance Matrix） 進行的特殊SVD 運算,(4) LSA 是SVD 在文字-文件矩陣上的應用，透過截斷SVD 捕捉詞語與文件的潛在語 意關係,1,
B2-067,B2,017,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某醫院欲建立一套加護病房(ICU)敗血症預測模型,資料來自120 位病患之生命徵象 （如心率、血壓、體溫等），每5 分鐘記錄一次。資料中敗血症相關樣本僅佔3.2%，屬 於高度不平衡資料。在資料檢查過程中發現數項問題，包括血氧資料會出現10 至30 分鐘的連續缺失、部分血壓感測器隨使用時間產生系統性偏高（感測器漂移）、敗血症 標註時間存在約±2 小時誤差，以及不同病患之正常生命徵象基準差異甚大。請問下列 何種資料處理與建模方式最為適當？",(1) 將缺失值以整體平均填補，未額外處理感測器漂移，並將敗血症標註區間由6 小時 擴大至8 小時以涵蓋時間誤差，模型評估採用ROC-AUC 作為主要指標,(2) 對缺失值進行線性插值，若連續缺失時間過長則刪除該段資料，並以Z-score 標準 化處理感測器漂移，交叉驗證採隨機切分，未避免同一病患資料同時出現在訓練與測 試集中,(3) 刪除所有含缺失值之資料，對資料進行Min-Max 正規化處理，未考慮病患間差異直 接建模，並以Accuracy 作為評估指標，交叉驗證採分層K-Fold 方式進行,(4) 對缺失值採前向填補並加入缺失指標特徵，利用感測器72 小時滾動中位數進行漂 移校正，並處理標註雜訊，同時以個別病患基準建模，交叉驗證採病患分組，評估採 PR-AUC 與Recall 指標,4,
B2-068,B2,018,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,某零售企業的AI 工程師正在用關聯規則學習(Association Rule Learning)分析購物籃 資料，評估商品A 跟商品B 之間同時購買的關係。關於「支援度（Support）」、「信賴 度（Confidence）」、「提升度（Lift）」三個指標，下列敘述何者正確？,(1) ×P,"(2) ]，範圍固定在[0,1]之間",(3) 提升度=P(A∩B) / [P,(4) 提升度=1 表示A 與B 獨立（無關聯），<1 表示負相關，>1 表示正向關聯，因此提 升度並非數值愈大即代表關聯愈強,4,
B2-069,B2,019,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"下圖表為電商平台某時段的交易紀錄(共8 筆訂單),對圖表內的資料執行Apriori 演 第二科：大數據處理分析與應用 答案 題目 算法，設定最低支援度為3。請問最終保留下來的最大頻繁項目集為何？",(1) {A},"(2) {A, D}","(3) {A, B, E}","(4) {B, E}",4,
B2-070,B2,020,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,某電信公司的AI 反詐欺模型在正常交易佔99.5%、詐欺交易僅佔0.5%的類別嚴重不 平衡資料集上訓練。若工程師僅以整體準確率（Accuracy）作為模型選擇的唯一指標， 最可能產生什麼嚴重問題？,(1) 模型訓練時間會因類別不平衡而大幅增加,(2) 一個永遠預測為正常交易的模型即可達到99.5%準確率，但對詐欺交易的召回率為 0%，使準確率失去判別能力,(3) 類別不平衡會導致模型訓練過程出現梯度爆炸,(4) 類別不平衡會直接導致模型過擬合，使測試集表現下降,2,assets/q_images/B2-070.jpeg
B2-071,B2,021,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某AI 平台的資料工程師需要在Apache Spark 叢集上,對包含10 億筆使用者行為紀錄 的RDD/DataFrame 計算整體標準差（Standard Deviation）。請問下列哪種策略在分散式 環境中最正確且有效率？",(1) 呼叫collect()將所有資料傳回Driver 節點的本機記憶體後，再使用Python 的  statistics.stdev()計算,(2) 先對資料進行全域排序（sortBy），再取中間值計算變異數,(3) 將資料輸出為CSV，再以Excel 的STDEV 函數計算,(4) 使用DataFrame.agg({'col': 'stddev'})或RDD.aggregate()等分散式統計方法，由各 Executor 計算局部統計量後再進行彙總  第二科：大數據處理分析與應用  答案  題目,4,assets/q_images/B2-071.jpeg
B2-072,B2,022,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,某連鎖便利商店集團欲建立門市未來14 天每日銷售額預測模型(500 間門市、3 年歷 史資料）。資料具有明顯的週期性（週末較高）、年度季節性（暑假與年末高峰）及長期 成長趨勢，並包含已知節日與不定期事件（如颱風）。在此情境下，關於資料切分與建 模策略，何者最適當？,(1) 採隨機切分（80/20），使用傳統時間序列模型建模，刪除節日資料避免極端值影響， 並以均方根誤差（RMSE）評估,(2) 依時間順序切分（最後90 天為測試集），使用具季節性建模能力的時間序列模型並 加入節日資訊，不處理不定期事件，以平均絕對百分比誤差（MAPE）評估,(3) 依時間順序切分並採前進式驗證（Walk-Forward Validation），結合時間序列分解與 機器學習模型，加入時間特徵、滯後與滾動統計特徵，並納入節日與不定期事件資訊， 使用均方根誤差（RMSE）與平均絕對百分比誤差（MAPE）評估,(4) 依時間順序切分，直接使用深度學習模型建模，不進行特徵工程，所有門市共用模 型，以平均絕對誤差（MAE）評估,3,assets/q_images/B2-072.jpeg
B2-073,B2,023,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"Receiver Operating Characteristic(ROC)曲線係由單一分類模型在不同決策閾值下形成, 並以真陽率（True Positive Rate, TPR）為縱軸、假陽率（False Positive Rate, FPR）為橫 軸。請問下圖中四條曲線，何者最不可能是ROC 曲線？",(1) 水平線A,(2) 曲線B,(3) 曲線C,(4) 斜直線D,3,assets/q_images/B2-073.jpeg
B2-074,B2,024,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某AI 工程師評估客戶滿意度評分(1–5 分,含有明顯離群值)與退款率(連續型比例 變數）之間的相關性，考慮使用皮爾森（Pearson）、斯皮爾曼（Spearman）或肯德爾 （Kendall）相關係數。關於三者的特性比較，下列敘述何者不正確？",(1) 皮爾森衡量兩個連續變數間的線性關係強度；斯皮爾曼與肯德爾基於排名（Rank） 第二科：大數據處理分析與應用  答案  題目  計算，對非線性單調關係也適用,(2) 斯皮爾曼相關係數的計算公式等價於皮爾森，只是將原始數值替換為其排名後代入 計算,(3) 與肯德爾相比，斯皮爾曼對離群值的穩健度更強,"(4) 三者的數值範圍（相關係數區間）皆相同，均在[-1, 1]之間",3,assets/q_images/B2-074.jpeg
B2-075,B2,025,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某金融機構導入AI 模型進行信用卡詐欺偵測,由於詐欺交易極為稀少(約佔全部交易 0.3%），因此模型在測試階段得到99.6%準確率（Accuracy），被初步認定為「高效模型」。 然而在實際上線後，風控部門發現模型幾乎無法攔截詐欺交易，且大量誤判正常交易。 經進一步檢查，發現資料極度不平衡，但模型仍以Accuracy 作為主要優化與評估指標。 在此情境下，下列何者最適當的改善方向？",(1) 持續優化Accuracy 指標以提升整體分類正確率,(2) 改用精確率（Precision）作為主要評估指標以降低誤報,(3) 引入Class Weight 或Cost-sensitive Learning 調整損失函數,(4) 移除少數類資料以提升模型穩定性與收斂速度,3,
B2-076,B2,026,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某電商推薦系統的資料工程師在建構模型特徵時,將使用者的訂單UNIX 時間戳記(連 續數值）轉換為「早晨（6–12 時）、下午（12–18 時）、夜晚（18–6 時）」三個區間類別， 以讓推薦模型更容易學習消費時段規律。在資料前處理中，這種將連續數值轉換為有 序類別的操作最精確的名稱為何？",(1) 特徵離散化（Feature Discretization）,(2) 特徵縮放（Feature Scaling）,(3) 數據降維（Dimensionality Reduction）,(4) One-Hot 編碼（One-Hot Encoding）,1,
B2-077,B2,027,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某AI 產品的商業分析師在準備月度報告時,需要在單一頁面上同時呈現1,000 位使用 者的留存率、活躍程度與付費轉換率三項指標，以讓決策層快速掌握整體趨勢。若依據 Edward Tufte 的資料視覺化原則中資料密度（Data Density）的概念，下列何者最符合 此原則的設計方向？","(1) 將1,000 筆資料分散至多張圖表（每張顯示約100 筆），避免單一圖表資訊過載",(2) 移除所有圖例、軸標籤與輔助線等非資料墨水（Non-data Ink），使版面最簡潔,(3) 在圖表中加入大量裝飾性元素（如色塊、陰影、3D 效果），使視覺效果更豐富,(4) 在有限頁面空間中呈現盡可能多的有效資料資訊，同時維持可讀性與清楚的視覺層 次,4,
B2-078,B2,028,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"行銷團隊比較三種廣告投放管道(A/B/C)的轉換率差異,原始數據如下,A:3.2%、 B：3.8%、C：4.0%。若設計圖表時將y 軸刻意截斷（不從0 開始），造成視覺差異放 大。此做法最可能產生的問題為何？ 第二科：大數據處理分析與應用 答案 題目",(1) 提升資料解析效率並減少認知負擔,(2) 增強小幅差異的可視化辨識能力,(3) 造成視覺誤導並放大實際差異感,(4) 提升圖表計算準確性與數據正確性,3,
B2-079,B2,029,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某AI 系統的維運工程師需要在儀表板上呈現「模型推論延遲(ms)隨時間的變化趨 勢」，以便即時監控 服務水準協議（Service Level Agreement, SLA）是否達標（P99<200 ms）。在資料視覺化的圖表類型選擇上，下列哪種圖表最適合呈現連續數值隨時間變化 的趨勢？",(1) 面積圖（Area Chart）,(2) 散佈圖（Scatter Plot）,(3) 長條圖（Bar Chart）,(4) 折線圖（Line Plot）,4,
B2-080,B2,030,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"訓練資料共5,000 萬筆,工程師比較Batch Size=32 與 Batch Size = 4096 的訓練表現, 發現大批次（Large Batch）雖然訓練較快，但模型泛化能力較差。從最佳化理論角度， 下列何者為此現象最合理的解釋？",(1) 大批次（Large Batch）計算量過大，GPU 無法有效處理,(2) 大批次（Large Batch）梯度估計更穩定，但容易收斂至局部極小值（Local Minima）， 導致泛化能力較差,(3) 小批次（Small Batch）因隨機性高，更容易發生梯度爆炸（Gradient Explosion）,(4) 批次大小（Batch Size）與泛化能力無關，問題出在學習率（Learning Rate）設定,2,
B2-081,B2,031,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某公司中,A 團隊負責信用評分模型,B 團隊負責詐欺偵測模型,兩團隊皆需要「使用 者過去30 天交易行為」資料，但各自會進行特徵工程與後續工作。以公司整體管理角 度，下列何者為導入統一管理與共用特徵的主要目的？",(1) 模型推論延遲過高，導致線上服務回應時間不符合系統即時性需求與使用體驗要 求,(2) 降低跨團隊重複開發的維護成本,(3) 訓練資料儲存空間不足，造成歷史資料保存與批次訓練流程效率下降問題,(4) 模型版本管理混亂，導致不同模型部署與回溯分析困難並增加維運複雜度,2,
B2-082,B2,032,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某銀行建置貸款違約預測模型,資料共50,000 筆,其中違約樣本僅800 筆(佔1.6%)。 在模型建置流程中，先對整體資料使用SMOTE 對少數類進行過採樣，之後再進行訓 練／測試切分，並訓練輕量梯度提升機（LightGBM）模型，並以AUC-ROC 評估模型 表現。模型在測試集的AUC-ROC 達到0.91，團隊認為模型表現良好，準備上線部署。 在模型審查過程中，下列何者為使測試集評估結果失真的主要原因？",(1) SMOTE 不適合用於金融違約預測場景，此類高風險業務應一律採用class_weight 調 第二科：大數據處理分析與應用  答案  題目  整損失函數，而非對資料本身進行過採樣,(2) SMOTE 的過採樣操作在訓練/測試切分之前即對全體資料執行，導致合成樣本資訊 洩漏至測試集，使AUC-ROC 0.91 虛高而不可信,(3) AUC-ROC 在1.6%的不平衡場景下過度樂觀，應改用PR-AUC 作為評估指標，其餘 流程均正確,(4) LightGBM 本身已內建處理不平衡的機制，與SMOTE 同時使用會造成少數類過度 補償，導致過多誤判,2,
B2-083,B2,033,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某線上書店希望建立一個多類別書籍推薦模型,根據讀者的「年齡、性別、過去購書類 別偏好評分」等特徵，預測讀者下次最可能購買的書籍主題（共8 類）。資料已完整標 註，且資料量達數十萬筆。在模型選型上，除了預測準確率外，也需考量模型訓練效 率、可擴充性，並需支援快速訓練與線上部署。請問下列哪種方法最適合此情境？",(1) 多類別羅吉斯迴歸（Multinomial Logistic Regression）,(2) 支援向量機（SVM）搭配One-vs-One,(3) K-means 分群後將群集標籤作為分類結果,(4) 主成分分析（PCA）後再以最大主成分作為分類依據,1,
B2-084,B2,034,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某電商平台希望建立二元分類模型,根據商品的「價格區間、品牌、顏色、材質」等特 徵，將商品分類為「高銷量（1）」或「低銷量（0）」。同時希望模型輸出具備可解釋的 機率（如P=0.73 表示73%機率為高銷量）。請問下列哪種方法最適合？",(1) K-means 分群（K-means Clustering）,(2) 決策樹迴歸（Decision Tree Regression）,(3) 羅吉斯迴歸（Logistic Regression）,(4) 線性迴歸（Linear Regression）,3,
B2-085,B2,035,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"某工程師在開發一個以Transformer 為基礎的文本分類模型時,發現模型對於詞語順序 的變化不夠敏感，影響語意判斷效果。請問在Transformer 架構中，位置編碼（Positional Encoding）的主要作用為何？",(1) 在詞嵌入（Embedding）中加入隨機擾動，以提升模型對輸入變化的泛化能力,(2) 在注意力機制中加入遮罩（Mask），限制模型只能關注部分詞語,(3) 將輸入序列轉換為可同時運算的向量表示，以提升計算效率,(4) 在詞的向量表示中加入位置資訊，使模型能區分序列中不同位置的詞語,4,
B2-086,B2,036,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,某AI 系統架構師正在為一個電子商務資料湖(Data Lake)設計系統。該資料湖儲存數 百億筆使用者點擊紀錄，並作為企業主要的分析資料來源。系統需讓非技術背景的行 銷人員能以自然語言查詢數據洞察（如：上個月台北市購買3C 產品的女性轉換率為 何？），同時滿足高精確性、可擴展性，支援資料庫層級的權限控管與查詢審計，並確 保查詢結果可由資料庫引擎精確執行。在此情境下，下列何者為最適合的系統架構？ 第二科：大數據處理分析與應用 答案 題目,(1) 協同過濾（Collaborative Filtering）：根據歷史查詢推薦相似問題的答案，無法執行新 問題的即時計算,(2) 檢索增強生成（RAG）：讓LLM 檢索相關資料後生成回答，但無法可靠執行大規模 數值聚合與精確統計查詢,(3) 生成對抗網路（GAN）：用於生成合成資料或模擬數據分佈，可用於資料擴增，但不 適合即時查詢與資料庫聚合運算,(4) Text-to-SQL Agent：由LLM 將自然語言轉換為SQL 查詢，交由分散式資料庫執行， 兼顧自然語言彈性與資料查詢精確性,4,
B2-087,B2,037,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,某金融機構將訓練好的信用評分模型開放API 供合作夥伴查詢。資安團隊警告此設計 可能遭受成員推斷攻擊（Membership Inference Attack）。下列何者最準確說明攻擊原理 與對應防禦？,(1) 利用模型對訓練樣本的高信心輸出判斷其是否屬於訓練集；以差分隱私或降低輸出 信心防禦,(2) 利用查詢次數與回應頻率差異判斷資料是否在訓練集中；以限制查詢次數防禦,(3) 透過模型輸出推測輸入的敏感特徵；以限制輸出資訊防禦,(4) 透過大量查詢建立替代模型模擬目標模型；以限制模型存取防禦,1,
B2-088,B2,038,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,某AI 平台的資料治理工程師正在評估三種去識別化技術的適用場景與強度:K 匿名 （K-anonymity）、差分隱私合成資料（Differential Privacy Synthetic Data）、亂數回應機 制（Randomized Response）。下列敘述何者不正確？,(1) K 匿名主要應用於表格型資料，確保每筆記錄在準識別符（Quasi-identifier）組合上 至少與K-1 筆其他記錄相同，防止個體被唯一識別,(2) 差分隱私合成資料是在發布統計查詢結果或訓練模型時直接對原始資料加入雜訊， 以確保單一個體的加入或移除不會顯著改變輸出,(3) 亂數回應機制讓受訪者以機率性方式回答敏感問題（如：您是否曾逃稅？），賦予個 人對答案的可否認性（Plausible Deniability）,(4) 三種技術中，只有差分隱私提供可組合且可量化的隱私保證，而K 匿名與亂數回應 在面對背景知識攻擊或多次查詢時保護能力有限  第二科：大數據處理分析與應用  二、程式題  答案  題目,2,
B2-089,B2,039,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"在建構自動化資料清洗管線時,工程師撰寫一個用於補齊缺失欄位的Python 函式,如 下圖所示。當此函式連續處理兩筆獨立的資料（row1 與row2）後，請問第二筆資料 row2['tags']的內容會為何？","(1) [""checked"", ""tags""]",(2) [],"(3) [""checked"", ""checked""]",(4) 拋出KeyError 錯誤，因為字典中沒有tags 鍵值,3,assets/q_images/B2-089.jpeg
B2-090,B2,040,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"下圖為一段分類演算法的pseudocode,請問最可能對應下列哪一種演算法?","(1) K-近鄰（K-Nearest Neighbors, KNN）",(2) K-means 分群（K-means Clustering）,"(3) 支援向量機（Support Vector Machine, SVM）",(4) 隨機森林分類器（Random Forest Classifier）  第二科：大數據處理分析與應用  答案  題目  某全球共享乘車平台的資料科學團隊，正針對2025 年第四季度進行營收優化與防弊分 析專案。團隊希望透過資料分析達成兩項目標：一是預測司機未來收入表現，以支援 營運策略與獎勵機制調整；二是希望透過分析裝置與定位回傳資料，辨識潛在異常行 為，以降低補貼濫用風險。  為此，團隊整理出一份司機每日營運資料檔（driver_daily_stats.csv），其中每筆資料代 表某位司機於某一天的營運表現與系統回傳摘要資訊。資料欄位如下：  ● driver_id：司機編號  ● daily_earnings：日總收入（單位：美元）  ● region：註冊營運區域（以字串A、B、C 表示）  ● app_version：使用的司機端App 版本（如v1.0、v2.0）  ● gps_ping_rate：每分鐘回傳GPS 訊號的次數  請根據此資料情境回答第41~44 題。,1,assets/q_images/B2-090.jpeg
B2-091,B2,041,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"資料分析師使用Python 檢視daily_earnings 欄位的基本統計量,執行以下程式碼(Pandas 2 以上版本）： 輸出結果如下： ● mean：223.411306 ● 50%：128.552462 ● max：4500.000000 若團隊進一步發現daily_earnings 欄位約有5%的遺失值，且目前規劃先建立線性迴歸 （Linear Regression）模型來預測未來收入。為盡可能保留該欄位原有分布特性，並降 低因補值造成的偏差，請問下列哪一種處理方式最為合理？","(1) df['daily_earnings'].fillna(df['daily_earnings'].mean(), inplace=True)","(2) df['daily_earnings'].fillna(df['daily_earnings'].median(), inplace=True)","(3) df['daily_earnings'].fillna(df['daily_earnings'].max(), inplace=True)",(4) 直接刪除所有遺失資料，因數值型欄位不適合進行補值處理  第二科：大數據處理分析與應用  答案  題目,2,assets/q_images/B2-091.png
B2-092,B2,042,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"承上題,團隊在建立預測模型前,先將region(A、B、C 區)轉換為整數 1、2、3, 即採用標籤編碼（Label Encoding）。模型上線測試後發現，線性迴歸模型對於C 區（編 碼為3）的預測收入出現明顯高估，顯示模型可能將編碼值誤解為具有線性大小關係。 若主管要求不得修改原有的特徵編碼方式，必須維持1、2、3 的整數表示，但希望從 演算法層面降低此類誤解風險，則下列何者最適合作為替代模型？",(1) 羅吉斯迴歸（Logistic Regression）,(2) Ridge 迴歸（Ridge Regression）,"(3) 支援向量機（Support Vector Machine, SVM）搭配線性核函數",(4) 隨機森林（Random Forest）,4,assets/q_images/B2-092.png
B2-093,B2,043,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"平台安全部門發現,僅有極少數司機(約占總體0.05%)會利用外掛程式竄改 gps_ping_rate，以騙取里程補貼。某新進資料科學家訓練了一個二元分類模型，並在報 告中指出：「模型整體準確率（Accuracy）高達99.95%，因此可直接上線攔截可疑帳 號。」 然而，資深工程師檢視後認為，僅憑上述結果（如圖）仍不足以支持模型直接上線。 下列何者不是其提出質疑的合理理由？",(1) 在此類極度不平衡的資料中，即使模型永遠預測所有司機皆為正常，整體準確率仍 可能高達99.95%,(2) 報告中未呈現召回率（Recall），因此模型可能無法有效辨識真正的外掛司機,(3) 異常偵測問題不可使用分類模型處理，僅能使用分群或離群值方法,(4) 對於少數類比例極低的問題，若僅觀察Accuracy，可能忽略模型對異常樣本的實際 偵測能力,3,assets/q_images/B2-093.png
B2-094,B2,044,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"針對上述外掛偵測模型,營運長下達最終的商業決策目標如下:「對於作弊行為零容忍。 即使誤凍結部分正常司機帳號，後續仍可交由人工覆核；但不能放過任何一個真正的 外掛司機。」根據上述目標，團隊在調整模型輸出的決策機率門檻（Threshold，預設 為0.5）時，應採取下列何種策略最為合理？",(1) 選擇使模型對作弊者的召回率（Recall）最大化的門檻，通常代表應降低 Threshold,(2) 選擇使模型精確率（Precision）最大化的門檻，通常代表應提高Threshold,(3) 固定使用Threshold=0.5 作為預設值，因為調整門檻將破壞演算法原有的訓練平衡,(4) 選擇使模型特異度（Specificity）達到100%的門檻，以確保正常司機不會被誤判  第二科：大數據處理分析與應用  答案  題目  請依照以下情境回答第45~47 題。  資料分析師載入一份電商交易紀錄的Pandas DataFrame df，其欄位包含：OrderID（訂 單編號）、CustomerID（客戶編號）、Category（商品分類）、Revenue（該筆營收）。此 外，另有一份客戶資料表customers，包含CustomerID（客戶編號）與 Region（所在地 區）欄位。,1,assets/q_images/B2-094.png
B2-095,B2,045,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"若分析師想找出「總貢獻營收最高的前3 名客戶」,下列Pandas 程式碼何者最為精確 且高效？","(1) df.sort_values('Revenue', ascending=False).head(3)['CustomerID']",(2) df.groupby('CustomerID')['Revenue'].max().head(3),(3) df.groupby('CustomerID')['Revenue'].sum().nlargest(3),(4) df.value_counts('CustomerID').head(3),3,
B2-096,B2,046,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"若分析師只想計算「Electronics(電子產品)」這個特定分類的平均營收,下列何者為 最佳的語法？",(1) df[df['Category'] == 'Electronics']['Revenue'].mean(),(2) df['Category' == 'Electronics']['Revenue'].mean(),"(3) df.loc['Electronics', 'Revenue'].mean()",(4) df.filter(items=['Electronics'])['Revenue'].mean(),1,
B2-097,B2,047,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"分析師想將customers 表中的Region 欄位加入到df 交易紀錄中,且「只保留那些在 customers 表中有對應資料的交易紀錄」。下列哪一種合併方式最正確？","(1) pd.concat([df, customers], axis=1)","(2) pd.merge(df, customers, on='CustomerID', how='outer')","(3) pd.merge(df, customers, on='CustomerID', how='inner')","(4) df.join(customers, on='CustomerID')  第二科：大數據處理分析與應用  答案  題目  請根據下方資訊回答第48~50 題。",3,
B2-098,B2,048,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"在進行機器學習建模前,資料分析師需對特徵變數X 進行標準化處理,以消除不同量 尺所造成的影響。已知使用StandardScaler 進行資料轉換，程式碼如下：scaler = StandardScaler()。請問下列哪一種寫法可以正確完成資料標準化？",(1) X_norm = scaler.transform(X),(2) X_norm = scaler.fit(X),(3) X_norm = scaler.fit_transform(X),(4) X_norm = fit_transform(scaler),3,assets/q_images/B2-098.jpeg
B2-099,B2,049,115年第一次中級AI應用規劃師第二科大數據處理分析與應用公告試題,"在進行機器學習建模前,資料分析師已完成資料前處理(包含遺漏值處理與特徵標準 化），並準備建立分類模型。 已知資料流程如下： 1. 將資料區分為訓練集與測試集 2. 建立羅吉斯迴歸（Logistic Regression）模型 3. 使用訓練資料進行模型擬合（fit） 請問下列哪一組Pandas / Scikit-learn 程式碼流程最為正確？ 第二科：大數據處理分析與應用 答案 題目",(1),(2),(3),(4),2,assets/q_images/B2-099.jpeg
