編號,分類,題號,文件名稱,題目,選項1,選項2,選項3,選項4,正確答案
A1-068,A1,068,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,"某電商平台工程師需在已排序的價格清單中，快速定位指定價格是否存在，給定排序後陣列：arr = [3, 8, 14, 19, 21, 27, 33, 45, 52]。若搜尋目標值為 27，且採用標準二分搜尋（Binary Search）流程（每次比較後排除中位數），請問最多需要比較幾次即可找到目標？",(1) 2 次；,(2) 3 次；,(3) 4 次；,(4) 5 次,2
A1-069,A1,069,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某物流公司導入強化式學習（Reinforcement Learning）優化車隊調度。模型在系統運行過程中，會依據不同配送狀態動態調整行動選擇方式，使決策結果逐步朝較佳績效收斂。上述模型在學習過程中的調整行為，最符合下列哪一項強化式學習核心機制？,(1) 調整策略函數以改變行動選擇機率；,(2) 更新訓練資料分布以降低模型偏差；,(3) 重新分群狀態資料以識別決策類型；,(4) 建立正確決策標籤進行誤差修正,1
A1-070,A1,070,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某團隊訓練影像分類模型，發現模型在訓練資料上的準確率達 98%，但在測試資料上僅有 72%。若團隊希望提升模型對新資料的適應能力，並增加訓練資料的多樣性，下列何者最適合？,(1) 增加模型的深度與參數量，使模型學習更多細節；,(2) 對訓練影像進行旋轉、翻轉等隨機變化；,(3) 提高訓練速度，使模型更快完成學習；,(4) 僅保留模型表現較好的訓練資料,2
A1-071,A1,071,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某時尚品牌導入生成式 AI（Generative AI）技術，建立服裝設計輔助系統。系統需根據設計師輸入的風格條件，自動產生具有高度視覺品質、細節穩定且風格變化自然的服裝草圖。團隊特別重視生成結果的穩定性與多樣性控制能力。在此需求下，下列哪一種模型技術或方法較為適合？,"(1) 支援向量機（Support Vector Machine, SVM）；","(2) 生成對抗網路（Generative Adversarial Network, GAN）；",(3) 決策樹（Decision Tree）；,(4) 擴散模型（Diffusion Model）,4
A1-072,A1,072,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某製造業工廠規劃導入 AI 監控系統，持續分析設備感測數據（如溫度、震動與壓力）。系統需能在缺乏完整異常標註資料的情況下，辨識與一般運作型態顯著不同的狀態，並發出預警。在此需求下，下列何種技術較為適合？,"(1) 使用支援向量機（Support Vector Machine, SVM）建立異常分類模型；",(2) 以決策樹（Decision Tree）學習異常類型的判斷規則；,"(3) 採用變分自編碼器（Variational Autoencoder, VAE）學習正常資料分佈；","(4) 使用生成對抗網路（Generative Adversarial Network, GAN）直接預測異常標籤",3
A1-073,A1,073,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,在 AI 推論服務架構設計中，「批次推論（Batch Inference）」與「即時推論（Real-time Inference）」常依任務特性選擇不同機制。下列關於兩者特性的敘述何者最正確？,(1) 批次推論通常以同步請求方式回傳結果，以確保資料一致性；即時推論則多採非同步機制以提升系統吞吐量（Throughput）；,(2) 批次推論多用於延遲容忍度較高的大規模資料處理，通常以吞吐量（Throughput）最佳化為優先；即時推論則著重於請求回應時間的穩定性與低延遲特性；,(3) 批次推論因計算資源需求高，僅適用於影像類模型；即時推論則主要應用於結構化資料模型；,(4) 即時推論為確保回應速度，通常限制為單筆資料輸入；批次推論則可支援同步多筆資料即時回傳,2
A1-074,A1,074,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某企業導入大型語言模型作為客服助理。模型已具備穩定語言能力，但在回覆偏好一致性與組織規範遵循方面仍需優化，團隊因此規劃導入人類反饋強化學習（RLHF）流程，下列何者最不屬於 RLHF 階段的典型技術活動？,(1) 透過人工評估方式建立偏好資料，使模型的不同候選輸出可反映人類主觀品質差異；,(2) 訓練一個能依據人類偏好判斷輸出品質的模型，作為模型優化過程中的回饋依據；,(3) 依據品質評估結果，調整模型生成策略，使其輸出更符合偏好導向的行為表現；,(4) 以未標註語料為主進行長週期表示學習訓練，以提升模型基礎語言建模能力,4
A1-075,A1,075,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,在大型語言模型（LLM）的推論服務中，常透過請求批次處理（Batching）來提升系統效能。關於批次處理（Batching）機制的影響，下列敘述何者最正確？,(1) Batching 可提升加速器資源使用效率並增加整體吞吐量（Throughput），但在部分情境下可能對單筆請求延遲造成影響；,(2) Batching 主要用於加快單筆請求回應時間；,(3) Batching 的效益主要來自降低記憶體使用量，對於吞吐量（Throughput）與延遲表現影響有限；,(4) Batching 在低併發（Concurrency）請求下，仍能明顯提升系統效能,1
A1-076,A1,076,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,"在可解釋 AI(Explainable AI, XAI) 的分類架構中，LIME（Local Interpretable Model-agnostic Explanations）屬於哪一類解釋技術？",(1) 內建可解釋模型（Intrinsic Interpretability）：模型本身具有透明的決策結構；,(2) 對話式解釋系統（Conversational AI Explainer）：透過互動對話提供模型解釋；,(3) 後處理模型解釋（post-hoc）：對已訓練模型提供外部解釋；,(4) 代理模型技術（Surrogate Model）：訓練另一個簡單模型來完全取代原黑盒模型進行推論,3
A1-077,A1,077,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,SHAP（SHapley Additive exPlanations）值常用於分析機器學習模型的輸出行為。下列何者最符合 SHAP 值所提供的資訊？,(1) 模型在訓練過程中，各特徵對損失函數收斂速度的影響程度；,(2) 依據特徵對模型整體準確率的影響，自動篩除低重要性變數；,(3) 在單一預測結果中，各輸入特徵對最終輸出所產生的貢獻分配；,(4) 透過調整特徵權重，使模型在推論階段降低計算複雜度,3
A1-078,A1,078,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,在金融業導入 AI 模型與可解釋性技術時，反事實解釋（Counterfactual Explanation）最符合下列哪一種應用？,(1) 分析整體客戶群的信用風險分布，以預測未來違約率趨勢；,(2) 回溯歷史呆帳案例，辨識造成違約的主要影響因素；,(3) 分析在模型不變的前提下，客戶申請資料變動對授信決策結果的影響；,(4) 依據客戶輪廓與行為資料，推薦最適合的金融商品以提升交叉銷售,3
A1-079,A1,079,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,在深度學習模型的分析與驗證過程中，研究人員有時會利用「顯著性圖（Saliency Map）」來輔助理解模型行為。下列何者最符合此技術的主要用途？,(1) 量化各輸入特徵對模型整體預測準確度的平均影響程度；,(2) 標示輸入資料中對單一預測結果影響較大的區域或部分；,(3) 評估在不同模型參數設定下，預測結果的穩定性變化；,(4) 比較不同模型架構在測試資料上的泛化能力差異,2
A1-080,A1,080,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某商業銀行想建立洗錢行為檢測系統，擁有過去 5 年的交易記錄，其中包含已確認的洗錢案例（標記為「異常」）和正常交易（標記為「正常」）。銀行希望系統能自動識別新交易是否為洗錢行為，請問使用下列哪一種機器學習方法最為適合？,(1) 監督式學習的分類問題；,(2) 非監督式學習的分群問題；,(3) 強化式學習；,(4) 非監督式學習的關聯規則挖掘,1
A1-081,A1,081,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某農場收集了大量作物葉片影像，但只有 30%的影像有病害類別標註，其餘 70%的影像沒有任何標籤。農場希望充分利用所有資料來訓練病害識別模型。這種情況最適合使用哪一種學習方法？,(1) 半監督式學習（Semi-supervised Learning）；,(2) 監督式學習（Supervised Learning）；,(3) 非監督式學習（Unsupervised Learning）；,(4) 強化式學習（Reinforcement Learning）,1
A1-082,A1,082,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某環保局想建立 AI 系統監測空氣品質，透過分析監測站攝影機拍攝的影像來識別煙霧。系統需要在影像中找出煙霧區域並標示其位置和範圍。這個應用主要屬於電腦視覺的哪個技術領域？,(1) 影像分類，判斷影像中是否有煙霧；,(2) 物件偵測，找出煙霧位置並用方框標示；,(3) 影像分割，精確標示出煙霧的像素區域；,(4) 人臉辨識，識別煙霧來源,3
A1-083,A1,083,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,"某公車系統想預測各站點的到站時間，需要考慮歷史班次資料、即時路況、天氣等因素。由於路況變化複雜，傳統循環神經網路（Recurrent Neural Network,RNN）在建模時可能難以保留較早期的重要資訊。下列哪種架構最能解決這個問題？","(1) 卷積神經網路（Convolutional Neural Network, CNN），利用卷積層捕捉局部特徵；","(2) 自編碼器（Autoencoder, AE），先進行資料壓縮再重建；","(3) 全連接神經網路（Fully Connected Neural Network, FCNN），增加隱藏層數量；","(4) 長短期記憶網路（Long Short-Term Memory, LSTM），改善 RNN 的長期記憶問題",4
A1-084,A1,084,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某保險公司每月處理約 50 萬筆理賠申請，希望建立 AI 系統自動識別可疑的詐欺案件。由於公司內部缺乏 AI 專業人員，且需要快速上線驗證效果，IT 資訊主管正在評估不同的 AI 平台解決方案。在去識別化個人隱私資料後，下列哪一種平台類型最適合該公司的需求？,(1) 從零開始建立深度學習框架並自行訓練模型；,(2) 採用開源機器學習框架進行客製化模型開發；,(3) 使用雲端 AutoML 平台進行自動化模型訓練；,(4) 購買現成的詐欺偵測軟體套件直接部署,3
A1-085,A1,085,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某市政府規劃釋出市民用電資料供學術研究使用，資料內容包含用電紀錄與部分人口統計欄位。考量資料可能涉及可識別個人之資訊，且須符合個人資料保護相關規範，下列哪一種資料處理方式最為適當？,(1) 提供完整資料集並透過合約約定研究用途與保密責任；,(2) 僅保留用電數值資料，移除所有其他欄位以避免識別風險；,(3) 對具識別風險的資料欄位進行轉換處理，並移除直接識別資訊；,(4) 僅將資料加密後提供，確保資料在傳輸過程中的安全性,3
A1-086,A1,086,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某電子製造公司建置 AI 視覺檢測系統，用於辨識 PCB 電路板製程缺陷。系統在影像判讀任務上表現穩定，但其模型設計與訓練目標皆侷限於特定應用範圍，無法直接遷移至其他營運決策任務。依人工智慧能力範疇分類，下列何者最符合該系統特性？,(1) 弱 AI（Weak AI/Narrow AI）；,(2) 強 AI（Strong AI）；,"(3) 通用人工智慧（Artificial General Intelligence, AGI）；","(4) 超級人工智慧（Artificial Superintelligence, ASI）",1
A1-087,A1,087,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某紡織製造公司導入 AI 系統進行布料瑕疵檢測，每天需處理來自 30 條產線的影像資料，包括高解析度照片、感測器數值、生產參數記錄等多種格式。該公司收集的資料量從每日 2GB 增長至 50GB，且需在布料離開產線前的 3 秒內完成瑕疵判定。近期團隊發現系統在尖峰時段容易出現判定延遲，影響製程節奏。若要優先改善此問題，下列哪一種做法最適合？,(1) 擴充資料儲存容量，以因應長期資料累積需求；,(2) 強化即時資料處理與推論計算資源配置，以降低延遲風險；,(3) 調整資料格式標準，以降低跨來源整合複雜度；,(4) 增加資料驗證與清理機制，以提升資料品質穩定性,2
A1-088,A1,088,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某果園管理公司計畫導入 AI 系統協助農民判斷蘋果成熟度，透過分析果實特徵資訊，評估成熟狀態並自動判斷採收時機。根據 AI 應用領域的分類，這個系統主要屬於哪一個應用領域？,(1) 自然語言處理（Natural Language Processing）；,(2) 電腦視覺（Computer Vision）；,(3) 語音識別（Speech Recognition）；,(4) 推薦系統（Recommendation System）,2
A1-089,A1,089,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某企業評估於不同業務場景導入機器學習技術。下列哪一項應用情境與機器學習類型的搭配最為適當？,(1) 在醫療影像分析中，同時運用少量已標註資料與大量未標註影像進行模型訓練—監督式學習（Supervised Learning）；,(2) 在智慧推薦系統中，利用顧客是否點擊的歷史標籤資料預測未來偏好—非監督式學習（Unsupervised Learning）；,(3) 在詐欺交易分析中，模型透過錯誤判斷所產生的損失作為回饋訊號，持續調整策略—監督式學習（Supervised Learning）；,(4) 在股價資料分析中，將歷史價格變動模式劃分為若干趨勢型態，且未使用人工標註—非監督式學習（Unsupervised Learning）,4
A1-090,A1,090,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某製造業公司建置機器學習模型，用於預測產品是否為瑕疵品。實際生產資料中，瑕疵品比例極低，大多數樣本皆為正常品。模型測試時發現，即使模型多數預測為正常品，仍可獲得很高的整體準確率。在此情境下，若希望更有效衡量模型對瑕疵品的辨識能力，下列何者較適合作為主要評估指標？,(1) F1-score；,"(2) 均方誤差（Root Mean Squared Error, RMSE）；",(3) 準確率（Accuracy）；,"(4) 判定係數（R², Coefficient of Determination）",1
A1-091,A1,091,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,在大型語言模型（LLM）的效能優化中，Flash Attention 常被用來改善 Transformer注意力機制的運算效率。關於 Flash Attention 的主要效益，下列敘述何者最正確？,(1) 透過忽略影響較小的注意力權重，減少模型需要計算的關聯數量，以降低運算成本；,(2) 透過調整注意力計算與資料處理方式，減少中間結果的儲存需求，進而改善速度與資源使用效率；,(3) 透過增加注意力計算的並行程度，使模型可同時處理更多注意力頭部；,(4) 透過將注意力結果暫存於高速快取記憶體，以避免重複計算造成延遲,2
A1-092,A1,092,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某企業建置基於檢索增強生成（RAG）的法遵知識輔助系統，用於整合法規條文、內控制度與歷史函釋文件。系統運行後發現，每當法規更新或新增解釋文件時，需重新建立完整索引，導致更新期間系統暫停服務，且部分回應偶有引用舊版內容的情形。若希望在兼顧查詢效率的同時提升知識更新彈性與系統穩定性，下列何者最適合？,(1) 提升模型推論資源配置，以維持高流量查詢時的回應效能；,(2) 調整語言模型的輸出限制機制，以降低生成內容與法規不一致的風險；,(3) 建立固定法規問答對照表，以規則化方式優先回應常見問題；,(4) 導入可支援增量更新的索引管理方式，使異動文件可即時反映於檢索結果,4
A1-093,A1,093,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,關於機器學習不同的學習模式，下列敘述何者錯誤？1. 監督式學習（Supervised Learning）透過已標註資料學習輸入與目標之間的對應關係，常見任務包含分類與數值預測。2. 非監督式學習（Unsupervised Learning）雖不需標註資料，但通常需預先定義每筆資料的正確輸出類別以利模型收斂。3. 半監督式學習（Semi-supervised Learning）在訓練過程中僅利用未標註資料進行特徵學習，並不涉及標註資料。4. 自監督式學習（Self-supervised Learning）的訓練方式與監督式學習相同，皆需人工逐筆提供標註資料。5. 強化式學習（Reinforcement Learning）透過與環境互動並依據回饋訊號調整策略，以優化決策行為。6. 自監督式學習（Self-supervised Learning）通常利用資料本身產生訓練目標，以降低對人工標註資料的依賴。,(1) 2、3、6；,(2) 2、4、5；,(3) 1、3、6；,(4) 2、3、4,4
A1-094,A1,094,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某零售業者建立顧客行為預測模型，資料集中包含「年消費金額」、「平均單筆交易金額」及「會員年資」等數值型特徵。資料分析顯示，部分金額特徵呈現高度偏態分布，少數樣本的數值顯著高於多數觀測值。為降低極端值對模型學習穩定性的影響，下列哪一種特徵工程方法最適合？,(1) 對數轉換（Log Transformation）；,(2) 區間化（Binning）；,(3) One-hot 編碼（One-hot Encoding）；,(4) 隨機重抽樣（Random Resampling）,1
A1-095,A1,095,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某團隊訓練深層神經網路模型時，發現訓練誤差長時間幾乎未下降，模型參數更新幅度極小，呈現學習停滯現象。若研判問題與梯度傳遞效率有關，下列何者最適合的改善策略？,(1) 延長模型訓練時間，使模型有更多機會調整參數；,(2) 增加訓練樣本數量，以提升模型學習能力；,(3) 調整模型中的啟動函數設定，以改善訓練過程的穩定性；,(4) 簡化模型結構，以降低模型過度擬合的可能性,3
A1-096,A1,096,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某市政府建置城市治理資料平台，需整合交通車流偵測資料、路口監視器影像，以及民眾透過陳情系統提交的文字通報。由於各類資料格式、儲存方式與資料型態差異甚大，導致資料清理與整合成本顯著增加。就大數據特性而言，此專案最主要面臨下列哪一項挑戰？,(1) Volume；,(2) Velocity；,(3) Variety；,(4) Veracity,3
A1-097,A1,097,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某企業規劃導入 AI 技術支援多項資料分析任務中，下列何種屬於結構化預測（Structured Prediction）問題？,(1) 判斷一封電子郵件是否為垃圾郵件；,(2) 預測未來一週的產品需求量；,(3) 預測客戶是否可能流失；,(4) 為語音內容轉換後的文字進行逐詞標註,4
A1-098,A1,098,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,"某物流公司想導入 AI 以提升營運效率，評估不同資料型態與模型架構。下列哪一種應用情境最適合採用卷積神經網路（Convolutional Neural Network, CNN）作為主要模型架構？",(1) 依據包裹每日掃描紀錄的時間序列，預測下週各倉庫的進貨量波動；,(2) 根據客服對話逐句內容的先後順序，判斷客訴是否可能升級為申訴案件；,(3) 根據倉庫監視器影像，自動辨識貨架是否缺貨並標示缺貨區域位置；,(4) 依據車隊 GPS 路徑點的連續軌跡，預測下一段可能行駛路線,3
A1-099,A1,099,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某 AI 科技公司在工業缺陷檢測領域已有成熟的辨識產品經驗。現欲與新客戶合作開發一項類似產品的表面瑕疵檢測系統，但因新產品量產不久，標註樣本極為稀少且專家標註成本高昂。在不大幅增加標註預算的前提下，下列哪一種做法最能利用該公司既有的技術優勢來提升模型表現？,(1) 增加模型參數規模，使模型具備更強表達能力；,(2) 透過資料增強（Data Augmentation）擴展影像變化，以提升模型穩定性；,(3) 重新蒐集大量影像並進行完整人工標註；,(4) 採用遷移學習（Transfer Learning），利用既有預訓練模型進行調整,4
A1-100,A1,100,115年第一次初級AI應用規劃師_第一科_人工智慧基礎概論_公告試題_20260410164304.pdf,某醫院使用機器學習模型篩檢癌症患者。模型預測結果會決定哪些病人需要進一步檢查。院方非常重視盡量找出所有可能的癌症患者，即希望降低漏診（Missed Diagnosis）風險，即便這可能增加一些誤判。下列哪一個評估指標最能反映模型找出癌症患者的能力？,(1) 精準率（Precision）；,(2) 召回率（Recall）；,(3) 假陽性率（False Positive Rate）；,(4) ROC-AUC 曲線,2
A2-051,A2,051,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某零售企業導入生成式 AI 商品推薦系統。測試結果顯示，在購物行為、偏好設定與價格區間相同的情況下，不同客戶族群收到的推薦商品類型仍出現明顯差異，且差異方向不易以既有行銷策略解釋。若在模型架構與推論設定皆未調整情形下，專案目標是優先降低可能的模型偏差風險，下列何者最合理？,(1) 重新檢視訓練資料的樣本分布與代表性；,(2) 限制推薦結果僅顯示高銷量商品；,(3) 降低模型參數規模以簡化決策邏輯；,(4) 提高推薦結果的隨機性以增加多樣性,1
A2-052,A2,052,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,"在進行大型語言模型 (LLM) 企業專屬知識的 Fine-tuning 時，若內部 GPU 運算資源與記憶體嚴重受限，下列哪一種參數高效微調（PEFT, Parameter Efficient Fine-Tuning）技術最能在維持模型效能的前提下，顯著降低需更新的參數數量？",(1) 知識蒸餾（Knowledge Distillation）；,(2) 提示詞工程（Prompt Engineering）；,(3) 梯度凍結（Gradient Freezing）；,(4) 低秩適配（Low-Rank Adaptation）,4
A2-053,A2,053,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業規劃透過 Low-Code 平台建置可視化儀表板，以支援營運數據的即時監控與分析判讀。若企業特別關注儀表板顯示結果的穩定性與分析可信度，下列何者最應優先確認？,(1) 是否具備穩定的資料串接能力與即時更新機制；,(2) 是否提供自動化決策建議與預測分析模組；,(3) 是否支援彈性介面設計與多角色權限管理；,(4) 是否整合流程觸發與跨系統通知功能,1
A2-054,A2,054,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業導入生成式 AI 客服系統後發現，系統整體運作穩定，且在單位時間內可處理大量對話請求。部分使用者仍反映在互動過程中回覆出現卡頓感，經初步排除網路連線與前端介面效能問題後，若專案團隊希望針對此現象進行效能測試，下列何者最符合測試重點？,(1) 評估系統長時間運作的穩定程度；,(2) 測量系統單位時間的總處理量；,(3) 比較不同回覆內容的語言品質；,(4) 分析單次互動回覆的反應速度表現,4
A2-055,A2,055,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業導入生成式 AI 系統，希望自動產出客服回覆與內部文件摘要。系統需能理解使用者輸入的完整語句內容，並在回覆中維持語意連貫，即使對話內容較長仍能保持上下文一致性。基於上述需求，下列何種模型架構最為適合？,"(1) 卷積神經網路（Convolutional Neural Network, CNN）；","(2) 遞迴神經網路（Recurrent Neural Network, RNN）；",(3) 基於 Transformer 架構的自迴歸模型（Autoregressive Model）；,"(4) 生成對抗網路（Generative Adversarial Network, GAN）",3
A2-056,A2,056,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,OpenAI 已為 Sora 生成的影片提供多種出處證明機制，以降低誤導性或欺騙性內容帶來的風險。下列何者不屬於目前 OpenAI 官方為 Sora 內容提供的出處證明工具？,(1) 所有資產上內嵌的 C2PA（Content Credentials）元數據；,(2) 預設可見的動態浮水印；,(3) 用於追蹤生成內容的內部反向影像與音訊搜尋工具；,(4) 平台對外開放的實時來源驗證介面,4
A2-057,A2,057,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業導入 No-Code/Low-Code 平台，讓各部門能自行建立資料分析與流程應用。隨著使用範圍擴大，管理層開始關注資料權限、存取紀錄與合規要求。依資料治理觀點，下列何者最合理描述此類平台對企業治理機制的典型影響？,(1) 平台內建角色權限與資料存取控管機制，有助治理制度落實；,(2) 平台強化部門自主性，通常使既有治理流程難以延續；,(3) 平台主要支援應用快速開發，資料治理仍需完全仰賴外部系統；,(4) 平台透過自動化設定機制，可顯著降低治理與合規管理需求,1
A2-058,A2,058,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某製造企業規劃於設備端建置邊緣運算（Edge Computing）架構，並以 No-Code/Low-Code 平台開發即時監控應用。測試顯示，系統在雲端環境執行順暢，但部署至邊緣裝置後出現回應延遲與效能下降。依此情境判斷，下列何者最合理解釋該現象？,(1) 邊緣運算架構可降低系統對效能的需求；,(2) No-Code/Low-Code 平台僅能在雲端環境執行；,(3) 雲端部署通常比邊緣部署更容易出現延遲；,(4) 邊緣裝置通常受限於運算能力與可用資源,4
A2-059,A2,059,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業使用生成式 AI 進行文字分類，初期僅根據既有業務資料設計少量樣本提示（Few-shot Prompting）。當模型應用至新市場資料時，團隊發現分類結果明顯不穩定，且原先提供的範例並未涵蓋新市場常見的表達方式。依此情境判斷，下列何者最可能為主要原因？,(1) 模型容易對單一範例產生過度記憶；,(2) 少量範例難以涵蓋新情境的資料差異；,(3) Prompt 設計無法引導模型擷取共通特徵；,(4) 模型推理能力不足以完成分類任務,2
A2-060,A2,060,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,"某企業建置檢索增強生成（Retrieval-augmented generation, RAG）系統支援內部知識查詢。隨著使用量提升，團隊發現模型回覆品質穩定，但推論延遲與運算成本逐漸增加。專案規劃在維持回覆品質前提下進行效能優化。在此情境下，若採用知識蒸餾（Knowledge Distillation），下列敘述何者最為合理？",(1) 將檢索資料轉換為結構化規則以取代模型；,(2) 僅透過增加檢索文件數量改善效能；,(3) 停用生成模型以避免延遲問題；,(4) 使小型模型學習大型模型行為，以降低推論成本,4
A2-061,A2,061,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某零售企業規劃提升門市數據應用能力，目標包括：門市主管可自行調整分析畫面與檢視指標呈現，以及由行銷部門建立銷售預測模型，以支援補貨與促銷規劃。企業在選型時以工具的主要功能定位與典型用途作為評估依據。依此需求判斷，下列哪一項 AI 工具使用規劃最合理？,(1) 以 AutoML 作為分析介面調整平台，No-Code 平台用於模型訓練；,(2) 以 No-Code 平台支援分析與介面調整，AutoML 負責模型建立；,(3) 僅導入 No-Code 平台，同時滿足高階模型建立與分析需求；,(4) 僅導入 AutoML，以兼顧介面調整與模型訓練,2
A2-062,A2,062,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,"下列何者最能正確說明 Model Context Protocol（MCP）與檢索增強生成（Retrieval-Augmented Generation, RAG）在功能定位上的主要差異？",(1) MCP 主要用於降低模型訓練成本；RAG 主要用於提升推論速度；,(2) MCP 著重模型與外部工具或系統互動；RAG 著重補充模型知識來源；,(3) RAG 必須依賴向量資料庫；MCP 不需任何外部整合；,(4) RAG 屬標準化通訊協議；MCP 屬資料檢索技術,2
A2-063,A2,063,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業建置文件型知識查詢系統，將大量長篇內部文件轉換為可供生成式 AI 使用的知識來源。在測試過程中，團隊發現若直接以整份文件進行檢索，模型回覆常包含無關內容，且引用段落不夠精準。團隊評估後，決定導入 Chunking 機制的主要目的為何？,(1) 透過縮短輸入長度，加速模型推理流程；,(2) 提升檢索結果的語意對齊程度，並降低長文件帶來的干擾；,(3) 減少模型執行時的記憶體使用量，以提升系統穩定性；,(4) 讓模型在生成回覆時具備更高的創意發揮空間,2
A2-064,A2,064,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,某企業導入大型語言模型（LLM）分析內部報表，使用者經常提供 Excel 匯出的表格資料（如銷售數據與統計表）。測試時發現，模型對原始表格解析效果不穩定。為提升模型理解與回應品質，下列哪一種上下文工程（Context Engineering）作法較為適當？,(1) 將表格內容轉換為結構化 JSON 或 Markdown table；,(2) 在維持原始表格呈現方式下，補充欄位與數據說明；,(3) 將表格資料隨機切割後分段輸入；,(4) 直接提供原始表格內容以保留完整資訊,1
A2-065,A2,065,115年第一次初級AI應用規劃師_第二科_生成式AI應用與規劃_公告試題_20260410164328.pdf,在生成式 AI 應用設計中，情境感知代理（Context-aware Agent）的核心特性為何？,(1) 能依任務需求即時重新訓練模型參數以優化結果；,(2) 僅依使用者當前輸入指令執行任務，不保留歷程資訊；,(3) 具備跨模態處理能力，可同時理解文字與影像內容；,(4) 能利用對話歷史、任務狀態調整行為與決策,4
